id,prix
0,24.8
1,13.1
2,23.7
3,16.0
4,19.0
5,27.6
6,20.6
7,17.2
8,25.6
9,20.6
10,27.0
11,20.5
12,18.8
13,19.0
14,16.4
15,24.2
16,28.8
17,26.4
18,10.5
19,31.6
20,16.6
21,17.2
22,19.1
23,18.6
24,20.4
25,22.2
26,26.9
27,24.5
28,19.8
29,10.8
30,24.9
31,21.2
32,24.4
33,16.1
34,22.9
35,16.0
36,16.9
37,27.7
38,22.7
39,25.8
40,20.9
41,20.7
42,20.6
43,18.9
44,21.8
45,16.3
46,22.5
47,23.6
48,20.3
49,25.8
50,17.9
51,22.3
52,32.4
53,19.3
54,22.8
55,8.0
56,24.6
57,13.0
58,23.8
59,27.3
60,16.2
61,30.0
62,13.0
63,8.5
64,18.1
65,26.3
66,22.9
67,19.0
68,11.2
69,14.5
70,17.6
71,26.9
72,14.9
73,22.5
74,21.5
75,16.2
76,21.8
77,28.0
78,12.4
79,33.3
80,15.5
81,20.7
82,21.4
83,15.4
84,13.2
85,6.4
86,10.3
87,13.9
88,15.1
89,22.4
90,21.5
91,17.7
92,7.4
93,11.5
94,5.8
95,21.2
96,18.8
97,8.9
98,20.0
99,11.8
